What social media accounts do you currently use? Please select all that apply!  - Facebook ,What social media accounts do you currently use? Please select all that apply!  - Instagram ,What social media accounts do you currently use? Please select all that apply!  - Twitter ,What social media accounts do you currently use? Please select all that apply!  - TikTok ,What social media accounts do you currently use? Please select all that apply!  - LinkedIn,What social media accounts do you currently use? Please select all that apply!  - None of the above ,"On your main social media platform, how many profiles do you have? ","How many hours a day, approximately, do you spend using social media? This includes communicating, sharing and networking, blogs, personal email and instant messaging. ",What is your thoughts with brands being on social media? Please give as much detail as possible! ,Have you ever had a two-way conversation with a brand you have previously made a purchase from on a social media platform? ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Facebook ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Instagram ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Twitter ,On which social media platform have you had conversations with brands on? Please select all that apply!  - TikTok ,On which social media platform have you had conversations with brands on? Please select all that apply!  - LinkedIn ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Web chat on their website ,On which social media platform have you had conversations with brands on? Please select all that apply!  - Other,Please state how much you trust a brand being recommended to you from the below sources:  - Recommendations from people that I know ,Please state how much you trust a brand being recommended to you from the below sources:  - Consumer opinions posted online ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand websites ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper articles ,Please state how much you trust a brand being recommended to you from the below sources:  - Brand sponsorship ,Please state how much you trust a brand being recommended to you from the below sources:  - TV advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Newspaper advertisement ,Please state how much you trust a brand being recommended to you from the below sources:  - Magazines ,Please state how much you trust a brand being recommended to you from the below sources:  - Billboard / Outdoor advertising ,Please state how much you trust a brand being recommended to you from the below sources:  - Radio ,Please state how much you trust a brand being recommended to you from the below sources:  - Emails I signed up for ,Please state how much you trust a brand being recommended to you from the below sources:  - Advertisements before movies ,Please state how much you trust a brand being recommended to you from the below sources:  - Search engine results advertisements (Google etc.) ,Please state how much you trust a brand being recommended to you from the below sources:  - Online video advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Online banner advertisements ,Please state how much you trust a brand being recommended to you from the below sources:  - Text advertisements on mobile phones ,How frequently do you share brand recommendations online? ,When was the last time you bought from a brand you have never purchased from before? ,Where did you first purchase that new brand from?,"On a scale from 0-10, how important is a brand's purpose in influencing your purchasing decision? (For example, Patagonia's fight against climate change would be their 'brand purpose').","Generally, how much do you trust that brands are living up to their brand purpose? ","Do you remember a brand better because of their tagline? (For example, Tesco's 'Every Little Helps' tagline)",What helps you understand a brand's offering better: Tagline or Hashtag?,Age,Gender,Irish County,Device OS
Yes,Yes,Yes,Yes,Yes,No,1 ,Less than 1 hour ,Nothing,Yes,No,No,No,No,No,Yes,No,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,8,Neither Trust or Distrust ,Yes ,Hashtag ,23 35,Female,Dublin,I OS
No,Yes,No,No,Yes,No,1 ,2-4 hours ,It’s the modern way. Best way to reach as many people as possible and so many people rely on social media for knowledge on different brands ,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,9,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
No,Yes,No,Yes,No,No,1 ,2-4 hours ,I think it’s a good way of advertising ,Yes,No,Yes,No,No,No,No,No,Neither Trust or Distrust ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Every few days ,In the last month ,A department store,5,Neither Trust or Distrust ,Yes ,Neither,23 35,Female,Leinster,Web
No,Yes,No,Yes,No,No,1 ,2-4 hours ,Good,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Distrust Completely ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Completely ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Neither Trust or Distrust ,Yes ,Tagline,23 35,Female,Munster,I OS
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,That's where I see their advertisements now so I'm OK with it,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last month ,Their website,3,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Android
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Good for advertising ,Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Daily ,In the past week ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
No,Yes,Yes,Yes,No,No,1 ,4-6 hours ,It’s a good way of advertising but I dislike how much free stuff brands send to influencers ,Yes,No,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the past week ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
Yes,Yes,Yes,No,Yes,No,1 ,1-2 hours ,I think it’s a good idea. It’s the first place I’d go to get any info on a brand,No,,,,,,,,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Every few days ,In the last month ,Their website,9,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,No,Yes,No,No,2,2-4 hours ,I think it’s a great way for them to reach a broader younger audience ,No,,,,,,,,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Every few weeks ,In the last month ,Their own retail shop,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,It can be beneficial to them to help them generate more sales but they need to be conscious about the content they are putting out ,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their own retail shop,2,Distrust Somewhat ,No ,Tagline,23 35,Female,Leinster,I OS
Yes,Yes,Yes,Yes,No,No,More than 2 ,2-4 hours ,I feel good ,Yes,Yes,Yes,Yes,Yes,No,No,No,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Daily ,In the past week ,Their Instagram page,10,Trust Completely ,Yes ,Tagline,23 35,Female,Dublin,I OS
No,Yes,No,Yes,No,No,2,1-2 hours ,Good it's the best way to advertise,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Every few months ,In the last 6 months ,Their Instagram page,6,Neither Trust or Distrust ,Yes ,Tagline,23 35,Female,Munster,Android
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,I think it’s super important. I rely on social media for most of my information ,Yes,Yes,Yes,Yes,No,No,Yes,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few months ,In the last month ,A department store,2,Trust Somewhat ,No ,Tagline,23 35,Female,Dublin,Web
Yes,Yes,No,No,Yes,No,1 ,4-6 hours ,It's good. Makes me remember then and know about them.,No,,,,,,,,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Completely ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Android
Yes,Yes,Yes,No,No,No,1 ,1-2 hours ,I think it's good. I get a lot of inspiration ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few weeks ,In the past week ,Their Instagram page,7,Neither Trust or Distrust ,Yes ,Tagline,23 35,Female,Dublin,Android
No,Yes,No,No,No,No,1 ,2-4 hours ,It’s good for exposure! Great for business,No,,,,,,,,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Never ,In the last 6 months ,Their Instagram page,7,Trust Somewhat ,No ,Tagline,23 35,Female,Munster,Web
Yes,Yes,No,No,Yes,No,1 ,1-2 hours ,I think it's the best way for brands to advertise now as there are so many different influencers,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Distrust Completely ,Distrust Completely ,Never ,In the last month ,Their website,5,Neither Trust or Distrust ,Yes ,Hashtag ,23 35,Female,Connacht,Android
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,I love seeing different brands especially ones im not familiar with,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Every few days ,In the past week ,Their website,10,Trust Completely ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,No,Yes,No,No,More than 2 ,2-4 hours ,I think its good to find new information and interesting brands,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Every few days ,In the last month ,Their Facebook page,6,Trust Completely ,Yes ,Hashtag ,23 35,Female,Connacht,I OS
Yes,Yes,Yes,No,No,No,More than 2 ,2-4 hours ,"It's the only way for them to make money ,everyone is online and social media is booming",Yes,Yes,No,Yes,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Every few months ,In the last 6 months ,Their website,5,Trust Somewhat ,Yes ,Hashtag ,23 35,Female,Munster,Android
No,Yes,No,No,No,No,1 ,2-4 hours ,Love it find out loads about brands through social media ,No,,,,,,,,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Every few weeks ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Ulster ROI Only,I OS
Yes,Yes,Yes,Yes,Yes,No,1 ,4-6 hours ,Too addicting ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Completely ,Never ,In the last month ,Their website,8,Distrust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,I OS
Yes,Yes,No,Yes,No,No,1 ,2-4 hours ,Great. Get to learn more about the brands before purchasing,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Never ,In the last month ,Their own retail shop,10,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Android
Yes,Yes,No,Yes,Yes,No,1 ,4-6 hours ,"I think its a good idea because ,let say you are very busy person it would be much easier for you to buy your stuff online clothes,food ,furniture, cars and you also have a variety of brand many choices ",No,,,,,,,,Trust Completely ,Neither Trust or Distrust ,Trust Completely ,Trust Completely ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Completely ,Every few days ,In the last 18 months ,Other,3,Trust Somewhat ,No ,Hashtag ,23 35,Female,Dublin,Web
Yes,Yes,No,No,No,No,1 ,4-6 hours ,Good. I find a lot of products I'm interested in through social media adverts,Yes,Yes,No,No,No,No,No,No,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Every few weeks ,In the last month ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Web
No,Yes,No,No,No,No,1 ,4-6 hours ,I feel very neutral about it. I understand that it’s essential for them for advertising and showcasing products but I follow very few brands and have little interaction with them,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,7,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,I OS
Yes,Yes,No,No,Yes,No,2,2-4 hours ,I want to find brands on social media ,Yes,Yes,No,No,No,No,Yes,No,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Completely ,Neither Trust or Distrust ,Every few months ,In the last month ,Their website,5,Distrust Somewhat ,Yes ,Tagline,23 35,Female,Dublin,I OS
Yes,Yes,Yes,No,No,No,1 ,2-4 hours ,It’s good way to go ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Every few months ,In the past week ,Their Instagram page,6,Trust Somewhat ,Yes ,Tagline,23 35,Female,Munster,Web
Yes,Yes,No,Yes,No,No,1 ,4-6 hours ,Good advertising,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Neither Trust or Distrust ,Every few months ,In the last 6 months ,A department store,4,Trust Somewhat ,Yes ,Tagline,23 35,Female,Dublin,Web
No,No,Yes,Yes,No,No,More than 2 ,1-2 hours ,Good to find new products and deals,Yes,No,Yes,Yes,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Every few days ,In the last month ,Another of their social media accounts,5,Trust Somewhat ,Yes ,Tagline,23 35,Female,Leinster,Android
Yes,Yes,No,No,No,No,More than 2 ,2-4 hours ,"I don’t like to see the same ads over and over again on social media, but I do think they help to discover new or local brands that otherwise wouldn’t have known about.",Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Never ,In the last 6 months ,Their website,7,Trust Completely ,Yes ,Hashtag ,23 35,Female,Munster,I OS
No,Yes,No,No,No,No,1 ,1-2 hours ,From a customer perspective it's good to see people using the brands but it's hard to know if the people are doing it for money or if they actually like the brand. For the brand it's important to keep up with trends etc ,Yes,No,Yes,No,No,No,No,No,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 6 months ,Other,8,Distrust Somewhat ,No ,Neither,23 35,Female,Dublin,Android
Yes,Yes,No,No,No,No,1 ,1-2 hours ,Do not like it,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Never ,In the last 18 months ,A department store,5,Trust Somewhat ,No ,Hashtag ,23 35,Female,Munster,I OS
Yes,Yes,Yes,Yes,No,No,2,1-2 hours ,I think it’s good for representing ,No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few days ,In the past week ,Their Instagram page,10,Trust Completely ,Yes ,Tagline,23 35,Female,Connacht,Web
Yes,Yes,No,No,No,No,1 ,Less than 1 hour ,,Yes,Yes,Yes,No,No,No,No,No,Trust Somewhat ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Neither Trust or Distrust ,Distrust Somewhat,Trust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Daily ,In the last month ,A department store,4,Trust Completely ,Yes ,Hashtag ,23 35,Female,Dublin,Web
No,Yes,No,No,No,No,1 ,2-4 hours ,"Some are way too much!!
",No,,,,,,,,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Distrust Somewhat,Every few months ,In the last 18 months ,Their website,5,Distrust Somewhat ,Yes ,Neither,23 35,Female,Connacht,Web
No,Yes,No,No,No,No,More than 2 ,2-4 hours ,Good promotion for them,No,,,,,,,,Trust Completely ,Trust Completely ,Trust Completely ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Every few weeks ,In the last 18 months ,Their own retail shop,8,Trust Somewhat ,Yes ,Tagline,23 35,Female,Dublin,Android
Yes,Yes,Yes,Yes,Yes,No,1 ,2-4 hours ,"Very good advertising, would buy from new brands from social media advertising ",Yes,Yes,Yes,No,No,No,No,No,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Distrust Completely ,Trust Somewhat ,Neither Trust or Distrust ,Distrust Somewhat,Distrust Somewhat,Distrust Completely ,Every few weeks ,In the last month ,Their Instagram page,8,Trust Somewhat ,Yes ,Tagline,23 35,Female,Dublin,Web
Yes,Yes,Yes,Yes,No,No,1 ,2-4 hours ,Very good as they are advertising their products as most of the world is online and using technology,Yes,No,Yes,No,No,No,No,No,Trust Completely ,Trust Completely ,Distrust Somewhat,Neither Trust or Distrust ,Trust Completely ,Neither Trust or Distrust ,Trust Somewhat ,Trust Somewhat ,Trust Somewhat ,Trust Completely ,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Distrust Somewhat,Trust Somewhat ,Distrust Somewhat,Every few days ,In the past week ,Their website,10,Trust Somewhat ,Yes ,Tagline,23 35,Female,Ulster ROI Only,Android
